Country Name,Indicator Name,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Bhutan,GDP per capita (constant 2010 US$),"698,163373253487","731,372597781337","794,189281367053","785,274940592808","821,576698455285","840,940458642994","883,716263539239","941,410224026157","981,243707300318","1014,77946355829","1050,67477914203","1108,04017851557","1119,77738303932","1187,88395490491","1291,95869048756","1366,81775827414","1424,06643286401","1504,4440204162","1588,54586768771","1859,09462270114","1928,77442332005","2038,5433880567","2258,18643535953","2411,03240967988","2504,50946084972","2526,44433649422","2639,61189546305","2780,78515518813","2970,7786041325","3072,04090130877","3128,82720111814","3262,19041767207","3007,69828073077"
Bolivia,GDP per capita (constant 2010 US$),"1303,10658045393","1324,16291357376","1356,54048708689","1398,12242030585","1391,48070694737","1420,74187087555","1456,39475402423","1493,41920392561","1527,11109606818","1570,8259177692","1617,36705484005","1592,73736423883","1601,41546580379","1597,64028460145","1606,90315567394","1620,2641581966","1657,50416181107","1700,18365765813","1750,80243356667","1799,49867714615","1878,10967380369","1909,08278921172","1955,460180975","2024,11783686882","2094,02394900401","2201,39698085879","2286,0131705886","2361,05609944025","2425,55959423837","2490,95644689922","2559,51164356321","2579,89856224262","2345,48479359273"
Bosnia and Herzegovina,GDP per capita (constant 2010 US$),,,,,,,"700,700242416484","870,204858542371","1672,54952891752","2264,78779957249","2619,30890336317","2863,84898295728","3015,05969966224","3144,08636702837","3307,31043368521","3437,05206120822","3644,75898339438","3962,814735817","4177,26182105833","4425,10447473297","4676,51322877648","4558,24787913948","4635,51027337483","4736,6225211441","4770,93162912533","4969,01667796709","5113,67074699367","5352,71889437826","5591,5923450278","5828,7043630856","6096,91949150311","6313,07585817153","6077,04356457794"
Botswana,GDP per capita (constant 2010 US$),"3671,42514885771","4002,76160093941","4133,45830631816","4309,26038048602","4313,90519073499","4284,79218586553","4332,02309588079","4525,77167671572","4676,45442684826","4948,40853641677","4858,69716249247","5214,45927413068","5211,07697609461","5126,36652896842","5341,93586370933","5493,17906023","5542,28669779803","5686,78380176469","6038,78205841545","6400,72110320706","6657,84293665715","6029,20800523588","6434,81248526822","6728,19153082508","6944,80914927972","7646,35849754362","7864,23215381551","7613,69852027346","7797,2150650985","7859,3543334848","8032,89219152574","8097,64495228243","7306,50245849385"
Brazil,GDP per capita (constant 2010 US$),"8276,32675222598","8389,97866544409","7983,74666891469","7963,11201856274","7791,75732446349","8020,60616492599","8311,56083626868","8540,07724699945","8591,01502225594","8744,84603239896","8641,27515676238","8554,07282580212","8803,15257954338","8804,32963670568","8954,83709571","8943,8285809448","9346,03944474749","9535,41857421236","9805,72466244493","10293,5302331844","10710,8722205603","10594,9867563283","11286,2429009115","11627,8102384971","11745,7761620453","11993,4839252147","11951,2089158757","11431,1550399028","10965,9743678207","11021,7185805472","11130,718972217","11203,2749473819","10672,1777388753"
Brunei,GDP per capita (constant 2010 US$),"39251,5269884496","37741,0783943415","37081,9090613654","37171,7541740551","37848,6820037692","36913,2529854094","37052,5239857292","37713,9438097216","37843,1764564853","36408,9051427843","35391,788247923","35680,5413497835","35931,488652408","36171,4859393432","36841,8254087468","37212,2562459334","36761,1475466912","36329,697282414","37399,8410152632","36987,6443027488","35844,6994231953","34800,9261248464","35270,6421390658","36121,9837304108","35966,6072430929","34730,4277640934","33416,0478994178","32872,9123058923","31685,9047615708","31752,1423843434","31437,0147694864","32326,5848202429","32402,365659982"
Bulgaria,GDP per capita (constant 2010 US$),"5207,20509148483","5095,16214354836","4714,8996124394","4359,67583040337","4086,2690540139","4058,0242122509","4145,85441360645","4283,2558083369","4526,65391621036","3907,91330807584","4102,66445589065","3784,07810377947","3984,66596829829","4219,94318931861","4569,27428187651","4842,88565433566","5193,91346070867","5607,52705521766","6034,62012591414","6477,77027728137","6920,38895361115","6730,05814265952","6812,40633845402","7017,66364599858","7083,59878715875","7146,5587960175","7322,80862919503","7663,72202887539","8012,51120825339","8353,9682378682","8674,72320233978","9058,73528029721","8743,21699223087"
Burkina Faso,GDP per capita (constant 2010 US$),"398,84828260501","396,811141029967","384,068504125694","407,83835536735","397,92596620631","400,693887704248","395,040779216676","406,310993743776","438,765018189387","453,674048115354","473,371612756526","494,231449322395","489,454983984038","507,117885144696","514,189990618658","538,473690654253","546,357426754662","576,371530262417","594,378807895514","600,455777386899","616,353254305698","615,6909235282","647,836095537879","670,264381458116","692,444787200338","711,035323366977","720,151702568062","726,712830184084","747,886811821408","771,649873854517","800,314516916289","822,203714745139","815,480855632121"
Burundi,GDP per capita (constant 2010 US$),"329,025093783427","324,771181499096","327,986552443762","336,58044272719","332,765632334476","305,948088258525","289,197057571992","262,375015009501","238,474664427854","232,305471099571","240,844488500605","235,308978946587","229,206101056112","228,660347577461","232,466318075956","222,807089308969","226,288624171061","221,09651882469","225,622174646664","225,858734432149","229,148482478209","230,192784154878","234,235532533654","235,988760268322","238,815936040566","242,845657168534","245,32663240645","228,432448051023","219,961407909652","214,139517297671","210,804201261524","208,074775424009","202,372052445493"
Cambodia,GDP per capita (constant 2010 US$),,,,,,"509,987762333322","321,281170351647","341,891189045849","351,282067273754","355,148794482056","362,099687783498","398,287985320183","428,404130889013","453,968907959191","474,941332760689","506,582702617649","549,969513611878","613,133283216174","668,876687931768","726,287460439872","763,508443046253","752,796427225648","785,502667057281","827,777127675278","873,949283306053","922,89032849377","972,742537251744","1025,3834858924","1079,50595749142","1135,84440687484","1202,62508208035","1268,9716022912","1212,02549983639"
